Date,AGL.JO,BID.JO,CPI.JO
2021-06-10,58727.16015625,30960.623046875,172082.09375
2021-06-11,59958.7734375,30137.40234375,167982.59375
2021-06-14,59573.46484375,30234.314453125,167507.03125
2021-06-15,57158.40234375,29930.599609375,166388.96875
2021-06-17,55445.15625,31270.328125,162541.265625
2021-06-18,53557.92578125,30899.6796875,160960.640625
2021-06-21,53893.10546875,30678.890625,163825.1875
2021-06-22,54910.44140625,30730.841796875,162721.125
2021-06-23,55377.33203125,31064.525390625,163980.046875
2021-06-24,56423.171875,31325.275390625,165239.953125
2021-06-25,57543.7109375,31662.955078125,166677.734375
2021-06-28,56384.8359375,30793.783203125,164458.625
2021-06-29,56308.16796875,31085.505859375,167445.046875
2021-06-30,55970.0390625,30931.6484375,168503.15625
2021-07-01,56579.45703125,31179.4140625,167429.09375
2021-07-02,57393.32421875,31215.380859375,166856.578125
2021-07-05,58189.49609375,31635.982421875,167508.03125
2021-07-06,56591.25,32128.51171875,165504.734375
2021-07-07,58171.8046875,32102.5390625,164513.59375
2021-07-08,55083.4375,32339.31640625,162403.390625
2021-07-09,57796.32421875,32219.427734375,162868.015625
2021-07-12,58437.1953125,33102.58984375,160877.703125
2021-07-13,58624.93359375,32069.568359375,156414.546875
2021-07-14,59564.6171875,32000.634765625,155938.9375
2021-07-15,58834.30078125,32214.431640625,155866.015625
2021-07-16,56226.5859375,31801.82421875,156065.859375
2021-07-19,54193.8828125,30728.845703125,153120.375
2021-07-20,55056.8984375,30855.720703125,154046.59375
2021-07-21,56932.328125,31245.353515625,156173.765625
2021-07-22,57943.765625,31259.337890625,158498.765625
2021-07-23,59359.18359375,31672.9453125,159759.671875
2021-07-26,61722.1484375,31623.9921875,159301.078125
2021-07-27,62292.25,31969.666015625,161609.09375
2021-07-28,63275.1796875,32055.583984375,162260.53125
2021-07-29,66042.1328125,32069.568359375,161156.453125
2021-07-30,64243.3671875,32128.51171875,162535.28125
2021-08-02,65128.00390625,31601.015625,163155.765625
2021-08-03,66560.1328125,31969.666015625,167774.796875
2021-08-04,67279.640625,31874.7578125,168360.28125
2021-08-05,64625.7265625,31709.908203125,170159.734375
2021-08-06,65855.375,31541.072265625,170705.25
2021-08-10,67016.2109375,31669.951171875,172929.34375
2021-08-11,68298.9375,31838.787109375,172351.828125
2021-08-12,68072.8671875,31671.9453125,171441.640625
2021-08-13,67718.0234375,31969.666015625,170967.03125
2021-08-16,66510.9921875,32358.29296875,176748.0625
2021-08-17,66888.4375,32805.87109375,182093.484375
2021-08-18,61349.62109375,33104.58984375,186477.71875
2021-08-19,59362.1328125,31969.666015625,182515.125
2021-08-20,58904.0859375,31711.908203125,183112.59375
2021-08-23,59977.44921875,32003.6328125,185700.375
2021-08-24,60644.859375,32169.4765625,188805.734375
2021-08-25,61018.37109375,32239.408203125,187039.234375
2021-08-26,60373.5703125,31934.697265625,186839.375
2021-08-27,61777.1953125,31935.697265625,188837.65625
2021-08-30,62022.92578125,31625.990234375,186976.296875
2021-08-31,60273.30859375,31957.677734375,189607.015625
2021-09-01,59660.9453125,31445.16015625,187823.53125
2021-09-02,60157.32421875,31170.421875,185340.6875
2021-09-03,60205.48828125,31248.349609375,183837.984375
2021-09-06,59680.6015625,30518.04296875,185162.828125
2021-09-07,60319.5078125,30474.083984375,189857.796875
2021-09-08,58780.23828125,30361.1875,189908.78125
2021-09-09,57892.65234375,30024.509765625,189739.921875
2021-09-10,59092.80859375,30563.99609375,187680.6875
2021-09-13,59324.78125,30522.037109375,189389.21875
2021-09-14,58155.09375,30884.693359375,190835.96875
2021-09-15,58134.453125,31570.04296875,190330.390625
2021-09-16,55566.0546875,31419.185546875,188413.0625
2021-09-17,51676.59765625,31726.89453125,186940.3125
2021-09-20,48802.5078125,31469.138671875,185408.640625
2021-09-21,49347.05078125,31807.818359375,186629.5625
2021-09-22,50536.3984375,32017.619140625,188231.203125
2021-09-23,51078.9765625,31649.96875,191152.6875
2021-09-27,52047.1640625,31070.51953125,188837.65625
2021-09-28,50817.515625,31087.50390625,188367.09375
2021-09-29,51603.86328125,31620.99609375,187438.890625
2021-09-30,52379.39453125,32230.416015625,181753.765625
2021-10-01,52021.60546875,30897.685546875,178846.265625
2021-10-04,52361.69921875,30770.802734375,175422.203125
2021-10-05,52419.6953125,31979.65234375,175095.515625
2021-10-06,50792.9453125,33426.28515625,172427.8125
2021-10-07,53493.0546875,33202.5,170345.5625
2021-10-08,54238.1171875,32969.71875,167626.890625
2021-10-11,56663.00390625,33095.59375,166956.5
2021-10-12,56252.140625,33047.63671875,168445.203125
2021-10-13,55673.1953125,32856.8203125,167006.421875
2021-10-14,57628.2421875,32525.140625,168952.765625
2021-10-15,57953.59375,32494.169921875,167936.671875
2021-10-18,56112.56640625,32617.05078125,170004.875
2021-10-19,55692.8515625,33167.53125,171852.28125
2021-10-20,55768.5390625,33045.62890625,170844.09375
2021-10-21,54454.359375,32639.962890625,169274.3125
2021-10-22,55237.7578125,32880.76171875,169969.78125
2021-10-25,56365.1796875,33074.60546875,171805.328125
2021-10-26,56637.44921875,33082.59765625,172968.421875
2021-10-27,55732.171875,32979.6796875,172538.75
2021-10-28,56307.18359375,32831.80859375,171184.8125
2021-10-29,56538.171875,32756.865234375,170543.328125
2021-11-02,56032.9453125,33272.4453125,173862.703125
2021-11-03,57395.2890625,32792.83984375,174502.203125
2021-11-04,55491.3515625,32396.166015625,180468.484375
2021-11-05,54080.84765625,31783.673828125,182389.984375
2021-11-08,54897.6640625,32289.255859375,183355.203125
2021-11-09,54726.6328125,32383.177734375,183753.890625
2021-11-10,55059.84765625,32207.3203125,185119.796875
2021-11-11,58257.3203125,32161.359375,184654.171875
2021-11-12,58494.20703125,31880.591796875,182983.484375
2021-11-15,57126.94921875,31865.603515625,184224.515625
